country_name,iso3,region,national_gdp_2019,n_districts,welfare_s1_pct,welfare_pct,welfare_cv,stage2_converged,welfare_s3_pct,welfare_s3_cv,kappa,calibration_version,scale_calibration_status,median_pi_nn,trade_cost_scale,total_population,status,error
Angola,AGO,Southern Africa,80734428592,163.0,6.412968671644403,6.951614107148707,1.3797604831442257e-09,True,6.684329136794598,0.041088175702615644,2.0,v2-rrh-krugman-cse-row,exact,0.4000935316746007,273.3186063172845,33299010.712158203,success,
Benin,BEN,West Africa,14391686313,72.0,5.3603190865151085,5.336595495245455,1.8667944687803823e-08,True,5.380531759005103,0.020209361413047636,2.0,v2-rrh-krugman-cse-row,exact,0.4007904237691814,108.44632540106973,12525154.55859375,success,
Botswana,BWA,Southern Africa,16725908148,26.0,3.801768052028165,3.8780041305627844,8.542869677642358e-08,True,3.8423318491925817,0.01896875540973819,2.0,v2-rrh-krugman-cse-row,exact,0.40005588167612044,379.91508699806735,2357060.3239868167,success,
Burkina Faso,BFA,West Africa,16032813503,44.0,8.057972094192856,8.202368640817337,4.837343261307413e-08,True,8.19604379854717,0.03052512916147279,2.0,v2-rrh-krugman-cse-row,exact,0.3999550127837332,282.29950281931986,21922670.546875,success,
Burundi,BDI,East Africa,2871555326,128.0,15.443856916820886,15.52450491555919,6.146533228598581e-08,True,15.603745471779163,0.04298279952926638,2.0,v2-rrh-krugman-cse-row,exact,0.4019760896407094,60.659189580756916,11012271.706420898,success,
Cameroon,CMR,Central Africa,39667757527,56.0,6.57082631006336,6.715284276156752,1.7495258315032254e-08,True,6.684233717760235,0.029559724587370547,2.0,v2-rrh-krugman-cse-row,exact,0.3999155637477212,299.1237324666987,27149926.75,success,
Cape Verde,CPV,West Africa,2252177124,,,,,,,,,,,,,,missing,
Central African Republic,CAF,Central Africa,2221301351,42.0,13.27320284159903,13.828931187710714,4.2611309368784063e-10,True,13.611514227397548,0.046595714199006114,2.0,v2-rrh-krugman-cse-row,exact,0.39988395545102107,926.5120386652518,5281631.484863281,success,
Chad,TCD,Central Africa,14905517742,54.0,11.867295564882596,11.844108258375364,7.055211564841311e-08,True,11.928171088244666,0.0301202047432481,2.0,v2-rrh-krugman-cse-row,exact,0.3999050586808833,499.6676480316349,15939380.546875,success,
Comoros,COM,East Africa,1187915408,,,,,,,,,,,,,,missing,
