NAME_2,osm_total_km,osm_paved_km,osm_paved_rate,liu_total_km,liu_paved_km,liu_paved_rate,diff
Arusha,4721.617729217794,80.49918169718399,0.017049067991897742,1124.3123932640412,122.83930347646054,0.10925727067709386,0.09220820268519611
Arusha Urban,2158.012056110028,148.03968470191361,0.06860002671568285,1155.2604486153223,223.01860876011835,0.19304617329142107,0.12444614657573821
Babati,7026.429032192143,134.40157836850548,0.01912800623940468,4931.696137248934,157.03420914711378,0.03184182576883432,0.01271381952942964
Babati Urban,1806.4798897885773,55.74922030679469,0.030860692456044635,478.2528756445748,36.6792121269674,0.0766941799932353,0.045833487537190666
Bagamoyo,13051.483009797219,302.6882182763203,0.023191863947499648,1876.06470040794,325.91699729956866,0.17372375122707642,0.15053188727957678
Bahi,3222.0875595202006,121.18758344683214,0.037611511545911594,391.2204263473645,86.00355200076677,0.21983400203240985,0.18222249048649825
Bariadi,11301.799476960272,102.10763235314343,0.00903463493236621,7278.023722992977,182.29381100982982,0.025047158122598733,0.016012523190232525
Biharamulo,8437.205825847017,281.78127784154725,0.033397464001449675,7314.683639575514,341.3250828728749,0.04666300002725513,0.013265536025805456
Buhigwe,2409.2390827942913,6.576757579214673,0.0027298069445174356,2062.7488905624505,66.38906525783565,0.03218475383095871,0.029454946886441274
Bukoba Rural,3611.2807944800174,92.63640710119175,0.025651953523744286,2975.047449907101,135.54795255968546,0.04556161030773411,0.019909656783989826
Bukoba Urban,532.9607996676456,41.63224891897069,0.07811503012028757,220.206921181157,44.620407425941856,0.20262945045779968,0.1245144203375121
Bukombe,4961.382720420931,83.26751109742597,0.01678312595291206,2665.2198087534257,124.36128332231488,0.04666079807521806,0.029877672122305996
Bunda,7627.401477256877,34.13142901648885,0.00447484364344276,6667.497532566682,226.9713333155409,0.03404145741440827,0.02956661377096551
Busega,3018.6042787432634,68.60642867023199,0.022727864382009997,2561.0746192404076,108.76717503182368,0.04246935025426283,0.019741485872252832
Butiama,6580.047741793506,88.94245897075874,0.013516992955208548,5902.727484099978,151.45881521699002,0.025659123790649434,0.012142130835440886
Chake,264.7613930088808,30.377545054752613,0.11473555381140356,218.27337310756516,58.028764557179386,0.265853611601919,0.15111805779051546
Chamwino,9824.330538322143,152.3309742815298,0.015505481384947962,601.5248395940448,119.47180498963753,0.19861491517169313,0.18310943378674518
Chato,11053.199555895304,153.6765923000801,0.013903358165474862,3710.954446376822,198.90430494848948,0.05359923109341561,0.03969587292794075
Chemba,1787.294158754057,34.91822333638272,0.019536920190420477,1112.8403260971727,157.8248823387653,0.14182167795111345,0.12228475776069297
Chunya,4076.6890958167082,29.884226553475006,0.0073305140154398055,1461.2905511555628,240.73536988987613,0.16474161808512813,0.15741110406968833
Dodoma Urban,11594.091715944176,334.86374656459236,0.028882275107767887,976.3087724360535,87.90666018106884,0.09003981390203741,0.06115753879426952
Gairo,1424.0746803845689,8.094858934022051,0.005684293840429807,262.31858205565135,0.6062609428327939,0.002311162778030626,-0.0033731310623991814
Geita,10540.555569966122,140.2504872683382,0.013305796486473906,4462.725176964657,295.1448341105717,0.06613556121134839,0.05282976472487449
Hai,2863.1351577704636,84.10545650365019,0.02937530080457099,682.6145362899098,81.23917185904187,0.11901178123247466,0.08963648042790368
Hanang,10319.587662885668,100.3739117637012,0.009726542866116187,8441.001909477867,223.42308006670248,0.026468786817336793,0.016742243951220606
Handeni,3882.221789390139,161.7181981777809,0.04165609461565186,873.7834817009078,209.35587302434163,0.23959696813770073,0.19794087352204887
Handeni Town,571.5415741132595,45.02621963562699,0.07878030518687057,32.52568833013501,18.767997352300736,0.5770207585403261,0.4982404533534555
Igunga,5168.165588478544,88.56753996315648,0.0171371327885858,2103.9568486195863,204.5502648237658,0.09722170155627097,0.08008456876768516
Ikungi,3066.625549792204,108.16077997159728,0.03527029244862527,1971.0110998988227,257.0034614707783,0.1303916865227045,0.09512139407407923
Ilala,4375.195566556691,229.69523335225864,0.052499420850581624,3717.0798453855655,676.6066696609215,0.18202640185436705,0.12952698100378543
Ileje,1845.3060640232004,0.0,0.0,1385.5071314503,129.43700571413842,0.09342211438395726,0.09342211438395726
Ilemela,1674.645188119602,81.8195857261419,0.048857863329254916,830.3122894263291,125.70958295341988,0.1514003641211596,0.10254250079190468
Iramba,1554.5822535141356,167.93817190419085,0.10802784576021394,1174.0395016461032,175.42962800293208,0.1494239569937509,0.04139611123353697
Iringa Rural,4255.318075546234,201.49326350495582,0.047350928867777094,1911.3721183266446,246.27174275424835,0.1288455243188609,0.08149459545108381
Iringa Urban,2108.5127656993986,73.42724708932032,0.034824189013133305,327.2524862848918,89.39377576837447,0.2731645427150464,0.23834035370191312
Itilima,5421.313334607998,0.29695197362111664,5.477491435985936e-05,4129.553096956975,91.62736693228167,0.02218820409399771,0.02213342917963785
Kahama,4030.6099699299034,75.16215383670473,0.01864783603411071,1989.1897392703547,289.7473657047175,0.14566099954396425,0.12701316350985353
Kahama Town,7394.933124258639,73.38934441042115,0.00992427425336299,751.9091413197892,145.50462353338827,0.1935135717036119,0.1835892974502489
Kakonko,1817.3240589413533,54.77992324727091,0.030143178360375576,1556.8455365327002,163.31487340159867,0.10490114116608021,0.07475796280570463
Kalambo,1802.2574099402816,59.179894211919944,0.0328365381579321,1207.3797464303768,198.98285662529,0.164805528015178,0.1319689898572459
Kaliua,1947.6371161628738,67.13929098098112,0.03447217678478792,1375.112534396115,256.5899307451746,0.1865955871443328,0.15212341035954488
Karagwe,3145.1061993793846,87.04205419023221,0.027675394302236273,2476.509173087386,186.0696993389847,0.07513386235796472,0.04745846805572845
Karatu,1666.0317589148328,48.81927844376337,0.02930272978443204,1154.7224847214372,141.40377603471535,0.12245693480960258,0.09315420502517055
Kaskazini 'A',1309.96395564724,77.20254458576551,0.05893486172115362,163.28681768962073,23.216500841323214,0.1421823339435377,0.08324747222238407
Kaskazini 'B',1087.751372470634,45.37987001595214,0.041718972887048476,195.24231751564488,45.41239694451983,0.23259505174067044,0.19087607885362196
Kasulu,8263.184962160749,124.7422098626501,0.01509614155242522,4672.906290572676,135.7987903180616,0.029060884570278667,0.013964743017853446
Kasulu Town,1960.6763219532638,2.7918897239289397,0.0014239421839641563,1414.7621266995338,25.060531940704664,0.01771360108371561,0.016289658899751452
Kati,877.7821636936083,136.78938654615308,0.15583523134095,516.0271899791899,55.860705684682785,0.10825147738229746,-0.04758375395865255
Kibaha,1341.658355502795,11.220023800917145,0.008362802463755663,621.8016044117892,5.390140909122737,0.00866858636400865,0.0003057839002529872
Kibaha Urban,2972.1562553464696,46.108446371116266,0.015513466456608394,1506.9107286641402,60.41799157463766,0.04009394214625942,0.024580475689651028
Kibondo,1870.7497683183078,71.59714595593107,0.038271898876295264,854.4838733686801,119.30471998098974,0.1396219679496677,0.10135006907337243
Kigoma Rural,1096.0366379050124,77.56352723193243,0.07076727597372018,833.8866443647715,85.92411581696808,0.10304052283080077,0.03227324685708059
Kigoma Urban,902.8500092451537,34.60818574917534,0.038332154172662884,272.532264874892,40.96196966663409,0.15030135857652668,0.11196920440386379
Kilindi,2207.794087432917,4.80203639681294,0.0021750381632720302,337.4536219876051,0.0,0.0,-0.0021750381632720302
